,name,version_agglo,n_clusters,affinity,linkage,n_MoJo_agglo,mojoFM_agglo,extremity_agglo,version_bunch,bunch_algo,n_MoJo_bunch,mojoFM_bunch,extremity_bunch,extremity_ground_truth,Instance
0,apache-spark,2.4.3,50,l1,single,107,99.22821696480094,0.0,2.2.3,hillclimbing,486,96.4945181765724,0.7777777777777778,0.14754098360655746,apache-spark
1,jenkinsci-jenkins,2.194,50,cosine,single,114,99.02002922719849,0.020000000000000014,2.185,exhaustive,884,92.40092839336373,0.8947368421052632,0.5652173913043479,jenkinsci-jenkins
2,ionic-team-capacitor,0.0.112,50,l2,single,8,99.00867410161092,0.040000000000000036,0.0.110,hillclimbing,12,98.51301115241637,1.0,0.6666666666666667,ionic-team-capacitor
3,hibernate-hibernate-orm,5.3.7,50,manhattan,single,111,98.986301369863,0.0,5.3.9,ga,6252,42.9041095890411,0.5121951219512195,0.09883720930232552,hibernate-hibernate-orm
4,iSoron-uhabits,1.7.8,300,l1,complete,9,98.6046511627907,0.06000000000000005,1.7.6,ga,174,73.02325581395348,0.7857142857142857,0.6190476190476191,iSoron-uhabits
5,apache-tomcat,9.0.22,50,l1,single,102,97.4365418446846,0.0,9.0.6,exhaustive,1597,59.86428750942446,0.72,0.5714285714285714,apache-tomcat
6,activiti-activiti,7.1.83,50,manhattan,single,124,96.98590179873602,0.0,7.1.77,exhaustive,1269,69.1541079241614,0.2857142857142857,0.021276595744680882,activiti-activiti
7,hazelcast-hazelcast,3.8.9,50,cosine,single,208,96.7494921081419,0.020000000000000014,3.9.2,ga,2445,61.79090482887951,0.0,0.0,hazelcast-hazelcast
8,cglib-cglib,3.2.7,200,l2,complete,10,95.96774193548387,0.09999999999999998,3.2.7,hillclimbing,94,62.096774193548384,0.6666666666666667,0.16666666666666666,cglib-cglib
9,airbnb-lottie-android,3.0.0,150,manhattan,complete,34,95.50264550264549,0.0,3.0.3,exhaustive,89,88.22751322751324,0.6,0.13888888888888884,airbnb-lottie-android
10,spring-projects-spring-security,5.0.6,50,l1,single,118,95.49790156428844,0.0,5.0.6,hillclimbing,455,82.64021365890879,0.6666666666666667,0.02631578947368418,spring-projects-spring-security
11,pmd-pmd,6.3.0,50,l1,single,138,95.19163763066202,0.0,6.5.0,exhaustive,686,76.09756097560975,0.5,0.0,pmd-pmd
12,querydsl-querydsl,4.1.3,50,l1,single,118,94.5945945945946,0.0,4.1.2,exhaustive,1280,41.365093907466786,0.4444444444444444,0.006622516556291425,querydsl-querydsl
13,apache-maven,3.3.7,50,l1,single,107,94.30851063829788,0.0,3.5.0,exhaustive,376,80.0,0.5,0.0,apache-maven
14,javaparser-javaparser,3.14.2,50,l1,single,104,94.07069555302166,0.0,3.14.7,ga,485,72.34891676168758,0.0,0.0,javaparser-javaparser
15,codecentric-spring-boot-admin,2.1.4,200,l1,complete,26,94.06392694063929,0.0,2.1.3,exhaustive,112,74.42922374429223,0.6,0.11627906976744184,codecentric-spring-boot-admin
16,ReactiveX-RxJava,2.2.8,50,cosine,single,110,93.61207897793264,0.040000000000000036,2.2.6,ga,545,68.3507549361208,0.0,0.0,ReactiveX-RxJava
17,oracle-opengrok,1.3.1,50,cosine,single,105,93.40037712130736,0.0,1.3.1,exhaustive,448,71.84160905091137,1.0,0.2586206896551724,oracle-opengrok
18,apache-cassandra,3.2,50,euclidean,single,170,92.8691275167785,0.020000000000000014,3.2,exhaustive,1121,52.9781879194631,0.8846153846153846,0.15966386554621848,apache-cassandra
19,oblac-jodd,5.0.8,50,cosine,single,177,92.8657799274486,0.0,5.0.5,ga,1328,46.47319629181782,0.8095238095238095,0.058823529411764726,oblac-jodd
20,jankotek-mapdb,1.0.7,150,manhattan,average,19,92.36947791164656,0.07999999999999996,1.0.7,ga,26,89.55823293172692,0.5,0.06666666666666665,jankotek-mapdb
21,redisson-redisson,3.7.2,50,cosine,single,111,92.11647727272728,0.020000000000000014,3.7.5,hillclimbing,397,71.80397727272727,0.7916666666666666,0.2465753424657534,redisson-redisson
22,crate-crate,3.3.5,50,cosine,single,230,91.75331660093224,0.0,3.3.1,exhaustive,1398,49.87450699175332,0.8928571428571429,0.09947643979057597,crate-crate
23,alibaba-fastjson,1.2.54,50,manhattan,single,231,91.68466522678186,0.0,1.2.59,hillclimbing,275,90.10079193664507,0.0,0.004716981132075526,alibaba-fastjson
24,facebook-facebook-android-sdk,5.2.0,50,manhattan,single,96,91.01123595505621,0.0,5.0.0,exhaustive,231,78.37078651685394,0.875,0.4,facebook-facebook-android-sdk
25,dropwizard-dropwizard,1.3.6,50,manhattan,single,115,90.55053410024652,0.0,1.3.2,hillclimbing,239,80.36154478225143,0.6666666666666667,0.01098901098901095,dropwizard-dropwizard
26,bumptech-glide,4.6.1,50,cosine,single,107,90.0925925925926,0.040000000000000036,4.2.0,ga,420,61.111111111111114,0.875,0.033232628398791486,bumptech-glide
27,raphw-byte-buddy,1.9.3,50,manhattan,single,121,89.96683250414594,0.0,1.9.4,exhaustive,441,63.43283582089552,0.6,0.15384615384615385,raphw-byte-buddy
28,jhy-jsoup,1.6.0,50,manhattan,single,10,89.89898989898991,0.020000000000000014,1.6.3,exhaustive,30,69.6969696969697,0.5,0.14814814814814814,jhy-jsoup
29,google-error-prone,2.1.2,50,manhattan,single,144,89.80891719745226,0.0,2.1.3,ga,337,76.15003538570417,0.33333333333333337,0.0,google-error-prone
30,sofastack-sofa-rpc,5.6.1,50,cosine,single,117,89.52551477170994,0.0,5.5.7,exhaustive,525,52.99910474485228,0.25,0.008333333333333305,sofastack-sofa-rpc
31,dropwizard-metrics,3.2.5,200,manhattan,average,35,89.42598187311178,0.0,3.2.4,hillclimbing,89,73.11178247734141,0.75,0.06521739130434777,dropwizard-metrics
32,bytedeco-javacpp,1.3.1,100,euclidean,complete,20,89.07103825136612,0.020000000000000014,1.5,hillclimbing,31,83.06010928961749,1.0,0.0,bytedeco-javacpp
33,rzwitserloot-lombok,1.16.20,50,l1,single,101,89.06926406926407,0.0,1.16.4,ga,424,54.11255411255412,0.8181818181818181,0.25,rzwitserloot-lombok
34,apache-isis,1.16.2,50,cosine,single,396,88.6986301369863,0.0,1.15.0,exhaustive,2416,31.05022831050228,0.6521739130434783,0.023411371237458182,apache-isis
35,springfox-springfox,2.3.0,300,cosine,complete,83,88.29337094499294,0.0,2.3.1,exhaustive,274,61.354019746121295,0.8947368421052632,0.1954022988505747,springfox-springfox
36,apache-tika,1.3,50,l1,single,101,88.22843822843825,0.0,1.4,hillclimbing,272,68.2983682983683,0.7777777777777778,0.19047619047619047,apache-tika
